StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3,Q4,Q5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Did you notice a sound?,"Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I feel I am competent enough to browse the website","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I do shopping spontaneously and automatically without having to think","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I have a strong sense of what I want to buy and browse","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I have a good idea while I am performing about how well I am doing","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I am completely focused on the task at hand","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I have a feeling of total control","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - I am not worried about what others may be thinking of me","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - This is an attention check answer Somewhat agree","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - The experience is extremely rewarding","Please read each statement carefully and indicate the extent to which you experienced that feeling during the task. There are no right or wrong answers; please be as honest as possible about your ""gut feeling."" - The way time passes seems to be different from normal",Age,Gender,How often do you shop online?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}"
2026-01-26 14:47:55,2026-01-26 14:59:51,0,153.92.93.227,100,716,1,2026-01-26 14:59:52,R_20My1vanc0nXHeg,,,,,49.1412,9.2152,anonymous,EN,5,6,4,5,4,5,5,6,5,5,4,21,2,3
2026-01-26 15:03:40,2026-01-26 15:11:01,0,153.92.93.227,100,440,1,2026-01-26 15:11:02,R_8UVFgx23AUtp44I,,,,,49.1412,9.2152,anonymous,EN,5,7,5,6,5,6,6,5,5,6,5,24,1,5
2026-01-27 19:43:19,2026-01-27 19:47:19,0,153.92.93.227,100,240,1,2026-01-27 19:47:19,R_8nGrDsGf0g6AQx3,,,,,49.1412,9.2152,anonymous,EN,5,6,4,6,4,5,5,4,5,5,6,21,2,2
2026-01-27 19:47:27,2026-01-27 19:55:25,0,153.92.93.227,100,478,1,2026-01-27 19:55:25,R_8SlaL3eIp19s3xw,,,,,49.1412,9.2152,anonymous,EN,5,5,3,4,3,4,4,4,5,4,3,22,1,4
2026-01-27 19:57:04,2026-01-27 20:03:21,0,153.92.93.227,100,377,1,2026-01-27 20:03:22,R_22XurvcNJe4X8tO,,,,,49.1412,9.2152,anonymous,EN,5,7,6,6,7,7,6,5,5,7,4,25,2,4
2026-01-27 20:05:46,2026-01-27 20:09:54,0,153.92.93.227,100,247,1,2026-01-27 20:09:54,R_8fvfy5NkwlVkYKX,,,,,49.1412,9.2152,anonymous,EN,5,6,5,6,5,5,6,6,5,7,6,23,1,5
2026-01-27 20:09:58,2026-01-27 20:34:00,0,153.92.93.227,100,1442,1,2026-01-27 20:34:01,R_2geKwp5fnh1GPst,,,,,49.1412,9.2152,anonymous,EN,5,5,5,4,5,7,6,6,5,4,4,21,2,5
2026-01-27 20:34:05,2026-01-27 20:43:52,0,153.92.93.227,100,586,1,2026-01-27 20:43:52,R_22g36FebHNQjlqF,,,,,49.1412,9.2152,anonymous,EN,5,7,4,6,6,6,6,5,5,5,4,25,1,3
2026-01-30 12:47:40,2026-01-30 14:50:02,0,153.92.93.227,100,7342,1,2026-01-30 14:50:03,R_8qXcAgmVVRqwDSC,,,,,49.1412,9.2152,anonymous,EN,5,5,3,4,3,4,3,4,5,3,5,26,2,3
2026-01-30 14:50:15,2026-01-30 15:15:39,0,153.92.93.227,100,1523,1,2026-01-30 15:15:39,R_8Qtyr34TM3V2XNk,,,,,49.1412,9.2152,anonymous,EN,5,6,5,7,5,6,6,6,5,6,5,22,1,5
2026-01-30 15:15:43,2026-01-30 15:24:26,0,153.92.93.227,100,523,1,2026-01-30 15:24:26,R_2jTLCkX9DmukjZn,,,,,49.1412,9.2152,anonymous,EN,5,6,4,5,4,5,5,5,5,5,4,20,2,4
2026-01-30 15:24:29,2026-01-30 15:28:30,0,153.92.93.227,100,240,1,2026-01-30 15:28:30,R_217xALhiuVLdy8l,,,,,49.1412,9.2152,anonymous,EN,5,7,6,6,7,6,6,7,5,6,6,20,1,5
2026-01-30 15:28:34,2026-01-30 15:33:01,0,153.92.93.227,100,267,1,2026-01-30 15:33:01,R_2duayKq84Rt8hKV,,,,,49.1412,9.2152,anonymous,EN,5,6,3,6,4,4,5,6,5,5,4,24,2,4
2026-01-30 15:33:45,2026-01-30 15:36:18,0,153.92.93.227,100,153,1,2026-01-30 15:36:18,R_8mpPJtjDWikwBJn,,,,,49.1412,9.2152,anonymous,EN,5,4,2,6,5,6,4,4,5,6,4,21,1,6
2026-01-30 15:36:20,2026-01-30 15:40:09,0,153.92.93.227,100,228,1,2026-01-30 15:40:10,R_8nD9p8AWMLTthOY,,,,,49.1412,9.2152,anonymous,EN,5,7,3,6,6,6,6,7,5,5,6,22,2,5
2026-01-30 15:40:11,2026-01-30 15:49:53,0,153.92.93.227,100,581,1,2026-01-30 15:49:53,R_2rqV4OXwNvL28B7,,,,,49.1412,9.2152,anonymous,EN,5,6,7,5,4,5,5,5,5,4,4,20,2,5
2026-02-02 15:10:28,2026-02-02 16:16:52,0,153.92.93.227,100,3983,1,2026-02-02 16:16:52,R_8RgSPm786KUsvlw,,,,,49.1412,9.2152,anonymous,EN,5,5,3,4,3,4,4,6,5,3,5,22,1,5
2026-02-02 16:16:54,2026-02-02 16:37:31,0,153.92.93.227,100,1237,1,2026-02-02 16:37:32,R_2ILri9S0ZVOCtyN,,,,,49.1412,9.2152,anonymous,EN,5,6,5,5,4,5,5,4,5,5,5,20,2,6
2026-02-02 16:37:35,2026-02-02 16:45:00,0,153.92.93.227,100,444,1,2026-02-02 16:45:00,R_8v9fJJxr6pXXA0B,,,,,49.1412,9.2152,anonymous,EN,5,7,5,6,5,6,6,5,5,6,4,25,1,6
2026-02-02 16:45:02,2026-02-02 17:09:46,0,153.92.93.227,100,1483,1,2026-02-02 17:09:46,R_8pukS99vHJh9IBS,,,,,49.1412,9.2152,anonymous,EN,5,6,4,5,4,5,4,5,5,5,4,21,2,5
2026-02-02 17:09:48,2026-02-02 17:19:40,0,153.92.93.227,100,592,1,2026-02-02 17:19:40,R_8zwEmUPoCaEQiIb,,,,,49.1412,9.2152,anonymous,EN,5,5,3,4,4,4,4,6,5,4,3,23,1,6
2026-02-02 17:19:42,2026-02-02 17:41:52,0,153.92.93.227,100,1329,1,2026-02-02 17:41:52,R_8MWIowhraPpFXqI,,,,,49.1412,9.2152,anonymous,EN,5,6,5,6,5,5,4,5,5,4,2,19,2,5
2026-02-02 17:41:54,2026-02-02 18:10:00,0,153.92.93.227,100,1686,1,2026-02-02 18:10:00,R_2imX1K8uCwEWIHa,,,,,49.1412,9.2152,anonymous,EN,5,7,6,7,5,6,6,4,5,6,4,20,1,5
2026-02-03 14:12:09,2026-02-03 14:29:36,0,153.92.93.227,100,1046,1,2026-02-03 14:29:36,R_8zZNXvNoag3DGcQ,,,,,49.1412,9.2152,anonymous,EN,5,6,4,4,3,5,5,6,5,5,5,24,2,5
2026-02-03 14:29:37,2026-02-03 14:43:20,0,153.92.93.227,100,822,1,2026-02-03 14:43:20,R_2Yjty3TR8XfkGit,,,,,49.1412,9.2152,anonymous,EN,5,6,5,6,4,5,6,7,5,4,4,21,1,6
2026-02-03 14:43:22,2026-02-03 16:22:05,0,153.92.93.227,100,5923,1,2026-02-03 16:22:05,R_2tLmaS6YLU42aYM,,,,,49.1412,9.2152,anonymous,EN,5,5,4,5,4,4,3,4,5,4,5,24,2,5
2026-02-03 16:22:07,2026-02-03 17:37:55,0,153.92.93.227,100,4548,1,2026-02-03 17:37:55,R_2CIm3g6DpdVG4Nv,,,,,49.1412,9.2152,anonymous,EN,5,6,5,6,6,6,6,7,5,6,6,22,1,6
2026-02-03 17:37:56,2026-02-03 18:12:26,0,153.92.93.227,100,2069,1,2026-02-03 18:12:27,R_2v1DYJXOwd7IltD,,,,,49.1412,9.2152,anonymous,EN,5,6,4,5,3,5,5,5,5,4,4,20,2,5
2026-02-03 18:12:28,2026-02-03 18:25:49,0,153.92.93.227,100,800,1,2026-02-03 18:25:49,R_8fwmnI7sEMse3jJ,,,,,49.1412,9.2152,anonymous,EN,5,7,6,7,6,6,6,4,5,6,5,23,1,5
2026-02-03 18:25:50,2026-02-03 18:34:27,0,153.92.93.227,100,517,1,2026-02-03 18:34:28,R_8CweKcw3MrAu7kJ,,,,,49.1412,9.2152,anonymous,EN,5,5,4,4,4,5,4,5,5,4,4,24,2,5
2026-02-05 11:28:09,2026-02-05 11:30:11,0,153.92.93.227,100,121,1,2026-02-05 11:30:11,R_2qZPDDiLZuOlMoa,,,,,49.1412,9.2152,anonymous,EN,5,6,5,5,4,5,5,4,5,7,6,21,2,5
2026-02-05 11:30:12,2026-02-05 11:40:37,0,153.92.93.227,100,624,1,2026-02-05 11:40:37,R_8L0dbNcbDTONKMS,,,,,49.1412,9.2152,anonymous,EN,5,6,4,6,4,5,5,6,5,4,4,24,2,6
2026-02-05 11:40:38,2026-02-05 11:54:08,0,153.92.93.227,100,809,1,2026-02-05 11:54:09,R_2X7805iX9j559wB,,,,,49.1412,9.2152,anonymous,EN,5,5,5,4,3,4,4,6,5,4,4,20,2,5
2026-02-05 11:54:10,2026-02-05 11:58:20,0,153.92.93.227,100,250,1,2026-02-05 11:58:21,R_225VqOXLlaFkwHY,,,,,49.1412,9.2152,anonymous,EN,5,7,6,7,5,6,6,4,5,7,6,22,1,5
2026-02-05 11:58:23,2026-02-05 12:04:35,0,153.92.93.227,100,372,1,2026-02-05 12:04:36,R_2VHXGHbss1QQuHL,,,,,49.1412,9.2152,anonymous,EN,5,6,5,4,4,5,6,6,5,6,4,20,2,5
2026-02-05 12:04:37,2026-02-05 12:07:57,0,153.92.93.227,100,199,1,2026-02-05 12:07:57,R_2cYtWTfp5SKUalM,,,,,49.1412,9.2152,anonymous,EN,5,7,7,5,6,7,7,7,5,6,4,26,2,5
